"Sexo","Edad","Cra","p10cra","p25cra","p50cra","p75cra","p90cra"
1,0,33.764,34.61,35.77,36.93,37.952
1,0.5,35.165,36.13,37.22,38.325,39.235
1,1,36.338,37.205,38.3,39.385,40.376
1,1.5,37.522,38.3575,39.225,40.2325,41.191
1,2,38.095,38.9875,39.935,41.0125,41.9
1,2.5,38.87,39.7,40.68,41.7,42.525
1,3,39.42,40.32,41.27,42.24,42.996
1,3.5,40.032,40.8,41.69,42.58,43.26
1,4,40.392,41.26,42.11,43.085,43.92
1,4.5,41.04,41.73,42.54,43.47,44.29
1,5,41.417,42.25,43.045,43.86,44.75
1,5.5,42.034,42.8975,43.73,44.46,45.295
1,6,42.07,42.8775,43.755,44.6,45.403
1,6.5,42.372,43.08,43.97,44.84,45.624
1,7,42.7,43.46,44.29,45.23,46.04
1,7.5,42.91,43.66,44.57,45.39,46.16
1,8,43.142,43.8875,44.65,45.675,46.367
1,8.5,43.398,44.2275,45.015,45.8525,46.636
1,9,43.659,44.4275,45.305,46.21,46.873
1,9.5,43.773,44.61,45.465,46.3125,47.12
1,10,44.048,44.74,45.65,46.57,47.28
1,10.5,44.096,45.0075,45.805,46.6925,47.45
1,11,44.37,45.2125,46.095,46.86,47.648
1,11.5,44.63,45.4,46.17,47.06,47.95
1,12,44.62,45.46,46.34,47.16,47.88
1,12.5,44.921,45.6825,46.51,47.3175,48.243
1,13,44.972,45.6,46.45,47.48,48.308
1,13.5,45.191,45.85,46.795,47.6225,48.507
1,14,45.243,46.0525,46.92,47.7075,48.701
1,14.5,45.17,46.1,47.06,47.8975,48.63
1,15,45.383,46.2725,47.07,48.085,48.894
1,15.5,45.572,46.31,47.25,48.09,49.052
1,16,45.69,46.47,47.35,48.2175,49.067
1,16.5,45.89,46.54,47.43,48.495,49.278
1,17,45.782,46.6,47.56,48.45,49.108
1,17.5,45.96,46.7,47.61,48.515,49.38
1,18,46.02,46.79,47.81,48.73,49.56
1,18.5,46.222,47.06,47.87,48.675,49.49
1,19,46.25,47.18,48.08,48.91,49.64
1,19.5,46.22,47.08,48.09,48.95,49.76
1,20,46.251,47.04,47.94,48.945,49.847
1,20.5,46.66,47.435,48.255,49.19,49.902
1,21,46.537,47.31,48.215,49.1325,49.976
1,21.5,46.617,47.41,48.305,49.295,50.07
1,22,46.682,47.52,48.62,49.6,50.222
1,22.5,46.48,47.54,48.42,49.3,50.264
1,23,46.82,47.64,48.54,49.48,50.332
1,23.5,46.944,47.83,48.76,49.59,50.234
1,24,46.95,47.79,48.68,49.66,50.47
1,24.5,47.115,47.86,48.83,49.8075,50.71
1,25,46.92,47.79,48.67,49.61,50.494
1,25.5,47.045,47.8275,48.83,49.84,50.595
1,26,46.97,47.87,48.82,49.81,50.76
1,26.5,47.1,47.89,48.855,49.8425,50.587
1,27,47.256,48.13,49.05,50.11,50.934
1,27.5,47.209,48.28,49.2,50.0975,51.091
1,28,47.3,48.14,49.19,50.02,50.886
1,28.5,47.16,48.04,49.09,50.05,51.048
1,29,47.101,48.045,49.155,50.295,51.058
1,29.5,47.43,48.3225,49.29,50.28,51.1
1,30,47.324,48.16,49.17,50.245,51.226
1,30.5,47.46,48.26,49.315,50.2175,51.23
1,31,47.41,48.37,49.4,50.47,51.382
1,31.5,47.584,48.39,49.37,50.34,51.236
1,32,47.5,48.4325,49.425,50.52,51.367
1,32.5,47.419,48.5825,49.49,50.48,51.323
1,33,47.39,48.41,49.42,50.49,51.39
1,33.5,47.726,48.52,49.56,50.645,51.54
1,34,47.572,48.46,49.47,50.64,51.538
1,34.5,47.51,48.46,49.42,50.46,51.5
1,35,47.692,48.47,49.63,50.655,51.348
1,35.5,47.98,48.81,49.74,50.79,51.78
1,36,47.805,48.6325,49.655,50.73,51.66
